"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
556493123,,"2025-08-25 18:10:00","2025-08-25 22:13:27","TikTok Shop ID - CPS",-,580126305893450760,1.97,0.02,MP,Pending,,,,,,1730922130723931208,"Grocery Store Y Cosmetic Makeup Organizer with Dustproof Drawer and Transparent Design for Easy Sorting and Storage",1730922169997493320,"Grocery Store Y"
556424778,,"2025-08-25 13:03:05","2025-08-25 16:20:37","TikTok Shop ID - CPS",-,580122795945199099,16.02,0.76,MP,Pending,,,,,,1730345373814654620,"MEDICUBE Collagen Night Wrapping Mask 75ml",1730286379987469980,Leonybeauty
556539732,,"2025-08-25 23:03:52","2025-08-26 02:22:21","TikTok Shop ID - CPS",-,580130001022715378,4.00,0.18,MKK_73,Pending,,TTS,ID,DSP,kk01,1732255043532981584,"Pembersih kamar mandi, artefak pembersih kaca, keran porselen, wastafel, pembersih timbangan pancuran Botol 500ml",1732254892157994320,Auspice
556497495,,"2025-08-25 16:38:53","2025-08-25 22:23:14","TikTok Shop ID - CPS",-,580125331752453475,5.63,0.17,MP,Pending,,,,,,1729431283421842142,"Amura Gold Serum - Mencerahkan Wajah, Memudarkan Noda Hitam & Anti Aging",1729431284158597854,AmuraOfficial
556483672,,"2025-08-25 20:59:46","2025-08-25 21:50:22","TikTok Shop ID - CPS",-,580128338342807197,2.07,0.06,MP,Pending,,,,,,1730892284155102211,"HANASUI Next Level Butter Balm Tint - Color Butter Balm Tinted Lip Balm Melembabkan & Mencerahkan Bibir Lightweight & Cover Bibir Gelap Beauty Hyper Gloss Lip Balm",1730892278872310787,Hanasui
556484953,,"2025-08-25 20:37:56","2025-08-25 21:53:24","TikTok Shop ID - CPS",-,580128058431997295,1.11,0.03,MP,Pending,,,,,,1732238142453810419,"(DAPAT 3pcs) HAIRMASK SACHET MASKER RAMBUT TREATMENT MEMBANTU MELURUSKAN RAMBUT",1732238052236231923,"Aulid Candy"
556426077,,"2025-08-25 12:38:59","2025-08-25 16:23:39","TikTok Shop ID - CPS",-,580122536619837110,5.65,0.10,MKK,Pending,,,,,,1729736703231363637,"Kamisol Daleman Atasan Kebaya Polos/Longtorso/Bustier",1729499324934556213,"Mulya 86"
556428637,,"2025-08-25 11:46:14","2025-08-25 16:29:28","TikTok Shop ID - CPS",-,580121862658885151,0.72,0.01,MKK_73,Pending,,TTS,ID,DSP,kk01,1730411163180762878,"Paket [3 Pasang] Kaos Kaki cotton Pendek Mata Kaki Motif Sports Warna Gelap Untuk Pria Wanita Jumbo Nyaman Juga Dipakai Buat Olahraga berlari & Outdoor | Kaus Kaki Sports Socks",1730411163143014142,"Kaos Kaki Aha Sock"
556054367,,"2025-08-25 08:04:27","2025-08-25 08:49:33","TikTok Shop ID - CPS",-,580119749181998705,2.62,0.08,MP,Pending,,,,,,1729616959822924036,"1 paket legging + manset wanita bahan kaos spandek tebal t Celana Dalaman Hitam Panjang",1729616959822661892,"SUPER DAYS"
556420708,,"2025-08-25 14:22:08","2025-08-25 16:11:48","TikTok Shop ID - CPS",-,580123828825261492,2.46,0.04,MKK_73,Pending,,TTS,ID,DSP,kk01,1730433142542140691,"( BUKAN HELM ) Spoiler Helm Akrilik TOD/HRV Kairoz - Bogo Kaoiroz dengan Double Tape 3M - Motorcycle",1729603462022924563,Tikktokhelmetstore
556431209,,"2025-08-25 10:51:28","2025-08-25 16:35:26","TikTok Shop ID - CPS",-,580121257025963057,1.87,0.04,MP,Pending,,,,,,1732097968258909934,"PO Kaos Jersey Anak 2-10Thn Oversized  Dryfit  Rugby  Baseball Retro Streetwear Number",1732097769037793006,Snowshop
556488043,,"2025-08-25 19:45:38","2025-08-25 22:01:18","TikTok Shop ID - CPS",-,580127372980750158,3.63,0.04,MP,Pending,,,,,,1729866968779230027,"Murah Berkualitas!! (Tas Lokal) Tas Ransel Wanita Modis Dan Kekinian Tas Ransel Sekolah Bahan Kulit Sintetis",1729866921878522699,"KEHLANI BAGS SHOP"
556482156,,"2025-08-25 21:26:50","2025-08-25 21:46:51","TikTok Shop ID - CPS",-,580128654836008040,1.24,0.04,MKK_73,Pending,,TTS,ID,DSP,kk01,1732204284596881058,"FLEKSOL flek solution perawatan wajah flek mencerahkan",1732204193703429794,"Alifia beauty store"
