"Conversion ID","Conversion Date","Recorded On",Advertiser,"Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks
540260112,"2025-07-27 22:30:00","2025-07-28 15:47:23","Shopee PH - CPS","207325799259020 | 2507279FDJC6TA",1.89,0.02,MP,Pending,
539956606,"2025-07-27 22:29:28","2025-07-28 01:40:47","TikTok Shop ID - CPS",579776086160868382,1.83,0.03,MP,Pending,
540260171,"2025-07-27 22:28:33","2025-07-28 15:47:29","Shopee PH - CPS","207325713270534 | 2507279FB0C78G",2.13,0.03,MP,Pending,
540260191,"2025-07-27 22:27:37","2025-07-28 15:47:31","Shopee PH - CPS","207325657242590 | 2507279F9AXDCF",1.28,0.02,MP,Pending,
539956942,"2025-07-27 22:23:06","2025-07-28 01:41:04","TikTok Shop ID - CPS",579776035060811565,1.19,0.02,MP,Pending,
540260495,"2025-07-27 22:21:05","2025-07-28 15:48:01","Shopee PH - CPS","207325265298035 | 2507279EWN4W4C",2.57,0.03,MP,Pending,
540260861,"2025-07-27 22:16:10","2025-07-28 15:48:36","Shopee PH - CPS","207324969280673 | 2507279EMTUEG8",9.10,0.11,MP,Pending,
540261037,"2025-07-27 22:14:48","2025-07-28 15:48:51","Shopee PH - CPS","207324888272541 | 2507279EJDKD0C",3.92,0.02,MP,Pending,
540261033,"2025-07-27 22:14:48","2025-07-28 15:48:51","Shopee PH - CPS","207324888272541 | 2507279EJDKD0C",1.78,0.01,MP,Pending,
540261029,"2025-07-27 22:14:48","2025-07-28 15:48:51","Shopee PH - CPS","207324888272541 | 2507279EJDKD0C",2.99,0.02,MP,Pending,
540261027,"2025-07-27 22:14:48","2025-07-28 15:48:50","Shopee PH - CPS","207324888272541 | 2507279EJDKD0C",17.25,0.21,MP,Pending,
540261163,"2025-07-27 22:09:33","2025-07-28 15:49:04","Shopee PH - CPS","207324573277626 | 2507279E9166E6",2.26,0.03,MP,Pending,
540261232,"2025-07-27 22:08:58","2025-07-28 15:49:10","Shopee PH - CPS","207324538211437 | 2507279E7YRBTU",5.56,0.07,MP,Pending,
540261271,"2025-07-27 22:08:18","2025-07-28 15:49:14","Shopee PH - CPS","207324497285237 | 2507279E6RQ6CS",1.54,0.01,MP,Pending,
540261359,"2025-07-27 22:06:04","2025-07-28 15:49:22","Shopee PH - CPS","2753625164416453288 | 2753625164416453288",1.71,0.01,MP,Pending,
540261382,"2025-07-27 22:05:29","2025-07-28 15:49:24","Shopee PH - CPS","207324328255504 | 2507279E1QGWYE",0.00,0.00,MP,Pending,
540261377,"2025-07-27 22:05:29","2025-07-28 15:49:24","Shopee PH - CPS","207324328255504 | 2507279E1QGWYE",8.28,0.10,MP,Pending,
540261403,"2025-07-27 22:04:28","2025-07-28 15:49:26","Shopee PH - CPS","207324268271010 | 2507279DYXAAHU",1.73,0.02,MP,Pending,
540261400,"2025-07-27 22:04:28","2025-07-28 15:49:26","Shopee PH - CPS","207324268271010 | 2507279DYXAAHU",1.73,0.02,MP,Pending,
540261397,"2025-07-27 22:04:28","2025-07-28 15:49:26","Shopee PH - CPS","207324268271010 | 2507279DYXAAHU",1.73,0.02,MP,Pending,
539958075,"2025-07-27 22:04:25","2025-07-28 01:42:18","TikTok Shop ID - CPS",579775767990404117,3.00,0.04,MP,Pending,
539958078,"2025-07-27 22:04:21","2025-07-28 01:42:19","TikTok Shop ID - CPS",579775805753034398,1.53,0.05,MP,Pending,
539958380,"2025-07-27 22:00:03","2025-07-28 01:42:35","TikTok Shop ID - CPS",579775733291123929,0.67,0.02,MP,Pending,
540261723,"2025-07-27 21:57:39","2025-07-28 15:49:58","Shopee PH - CPS","207323859263533 | 2507279DKR8EWR",1.64,0.01,MP,Pending,
540261866,"2025-07-27 21:54:25","2025-07-28 15:50:13","Shopee PH - CPS","207323665298073 | 2507279DDY8XDY",0.28,0.00,MP,Pending,
540259588,"2025-07-27 21:53:37","2025-07-28 15:46:39","Shopee PH - CPS","207323617258332 | 2507279DCHEYAY",4.79,0.06,MP,Pending,
540259635,"2025-07-27 21:52:01","2025-07-28 15:46:43","Shopee PH - CPS","207323520246588 | 2507279D9MXG01",5.70,0.07,MP,Pending,
540259792,"2025-07-27 21:48:26","2025-07-28 15:46:55","Shopee PH - CPS","207323305234415 | 2507279D37VKSA",0.56,0.01,MP,Pending,
540259798,"2025-07-27 21:48:04","2025-07-28 15:46:55","Shopee PH - CPS","207323284274209 | 2507279D2KW758",2.08,0.03,MP,Pending,
540064144,"2025-07-27 21:47:38","2025-07-28 13:34:11","Shopee ID (Media Buyers) - CPS","207323257246631 | 2507279D1T477G",3.42,0.05,MP,Pending,
540259902,"2025-07-27 21:46:07","2025-07-28 15:47:04","Shopee PH - CPS","207323167261966 | 2507279CY4A43J",1.40,0.02,MP,Pending,
540259919,"2025-07-27 21:45:43","2025-07-28 15:47:05","Shopee PH - CPS","207323143235695 | 2507279CXDD02K",0.59,0.01,MP,Pending,
540259917,"2025-07-27 21:45:43","2025-07-28 15:47:05","Shopee PH - CPS","207323143235695 | 2507279CXDD02K",0.59,0.01,MP,Pending,
540260245,"2025-07-27 21:41:22","2025-07-28 15:47:36","Shopee PH - CPS","207322881257175 | 2507279CPKJ02C",0.02,0.00,MP,Pending,
540260420,"2025-07-27 21:35:10","2025-07-28 15:47:53","Shopee PH - CPS","207322510292266 | 2507279CBHS2TU",0.35,0.00,MP,Pending,
540260515,"2025-07-27 21:33:19","2025-07-28 15:48:04","Shopee PH - CPS","207322398269349 | 2507279C86X347",3.51,0.04,MP,Pending,
540260513,"2025-07-27 21:33:19","2025-07-28 15:48:03","Shopee PH - CPS","207322398269349 | 2507279C86X347",4.56,0.05,MP,Pending,
540260563,"2025-07-27 21:31:29","2025-07-28 15:48:09","Shopee PH - CPS","207322288284870 | 2507279C4X1X2C",0.59,0.01,MP,Pending,
540260628,"2025-07-27 21:30:37","2025-07-28 15:48:15","Shopee PH - CPS","207322237236185 | 2507279C3DBUDB",1.03,0.01,MP,Pending,
540260631,"2025-07-27 21:30:31","2025-07-28 15:48:15","Shopee PH - CPS","207322230282639 | 2507279C36QU54",33.23,0.40,MP,Pending,
540247696,"2025-07-27 21:29:27","2025-07-28 15:35:07","Shopee PH - CPS","207322166257801 | 2507279C19NTK1",1.91,0.02,MP,Pending,
540247691,"2025-07-27 21:29:27","2025-07-28 15:35:06","Shopee PH - CPS","207322166257801 | 2507279C19NTK1",0.86,0.01,MP,Pending,
539960560,"2025-07-27 21:28:30","2025-07-28 01:44:58","TikTok Shop ID - CPS",579775214264157294,0.95,0.03,MP,Pending,
540260827,"2025-07-27 21:26:38","2025-07-28 15:48:33","Shopee PH - CPS","207321998210951 | 2507279BV9DH4E",4.22,0.05,MP,Pending,
540260958,"2025-07-27 21:25:10","2025-07-28 15:48:45","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1B",2.62,0.02,MP,Pending,
540260956,"2025-07-27 21:25:10","2025-07-28 15:48:44","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1A",3.55,0.03,MP,Pending,
540260953,"2025-07-27 21:25:10","2025-07-28 15:48:44","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1B",3.34,0.03,MP,Pending,
540260952,"2025-07-27 21:25:10","2025-07-28 15:48:44","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1D",3.41,0.03,MP,Pending,
540260951,"2025-07-27 21:25:10","2025-07-28 15:48:44","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1A",0.72,0.01,MP,Pending,
540260950,"2025-07-27 21:25:10","2025-07-28 15:48:44","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1B",1.71,0.02,MP,Pending,
540260946,"2025-07-27 21:25:10","2025-07-28 15:48:43","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1D",0.45,0.00,MP,Pending,
540260945,"2025-07-27 21:25:10","2025-07-28 15:48:43","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1B",1.87,0.02,MP,Pending,
540260944,"2025-07-27 21:25:10","2025-07-28 15:48:43","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1C",2.35,0.03,MP,Pending,
540260942,"2025-07-27 21:25:10","2025-07-28 15:48:43","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1D",0.38,0.00,MP,Pending,
540260940,"2025-07-27 21:25:10","2025-07-28 15:48:43","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1C",2.10,0.03,MP,Pending,
540260939,"2025-07-27 21:25:10","2025-07-28 15:48:43","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1D",0.38,0.00,MP,Pending,
540260935,"2025-07-27 21:25:10","2025-07-28 15:48:42","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1D",0.38,0.00,MP,Pending,
540260928,"2025-07-27 21:25:10","2025-07-28 15:48:42","Shopee PH - CPS","207321910227117 | 2507279BSNGJ1E",3.34,0.04,MP,Pending,
540260964,"2025-07-27 21:24:51","2025-07-28 15:48:45","Shopee PH - CPS","207321891270421 | 2507279BS3E0K8",2.19,0.03,MP,Pending,
540261208,"2025-07-27 21:22:18","2025-07-28 15:49:08","Shopee PH - CPS","207321737265085 | 2507279BMGJ2F0",1.14,0.01,MP,Pending,
540261465,"2025-07-27 21:18:44","2025-07-28 15:49:32","Shopee PH - CPS","207321525226975 | 2507279BE6B19U",10.71,0.00,MP,Pending,
540261498,"2025-07-27 21:17:52","2025-07-28 15:49:35","Shopee PH - CPS","207321472297593 | 2507279BCKUUAG",3.31,0.04,MP,Pending,
540187130,"2025-07-27 21:16:25","2025-07-28 14:54:55","Shopee PH - CPS","207321384260183 | 2507279B9YWCNV",18.97,0.11,MP,Pending,
540262054,"2025-07-27 21:08:14","2025-07-28 15:50:34","Shopee PH - CPS","207320894270900 | 2507279AUCM59D",2.59,0.03,MP,Pending,
540262307,"2025-07-27 21:02:54","2025-07-28 15:51:00","Shopee PH - CPS","207320574272884 | 2507279AHUEFGR",6.65,0.08,MP,Pending,
540260172,"2025-07-27 20:53:03","2025-07-28 15:47:29","Shopee PH - CPS","207319983259216 | 2507279A07T2P1",9.94,0.06,MP,Pending,
539963074,"2025-07-27 20:52:39","2025-07-28 01:47:39","TikTok Shop ID - CPS",579774833427056520,4.99,0.07,MP,Pending,
