"Conversion ID","Conversion Date","Recorded On",Advertiser,"Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks
540675260,"2025-07-28 21:55:11","2025-07-29 14:39:37","Shopee PH - CPS","207410110264321 | 250728BWX7KXUA",1.56,0.01,MP,Pending,
540777806,"2025-07-28 21:54:23","2025-07-29 15:50:49","Shopee PH - CPS","207410062286688 | 250728BWVSUNY0",4.08,0.05,MP,Pending,
540777801,"2025-07-28 21:54:23","2025-07-29 15:50:48","Shopee PH - CPS","207410062286689 | 250728BWVSUNY1",0.33,0.00,MP,Pending,
540777811,"2025-07-28 21:54:21","2025-07-29 15:50:49","Shopee PH - CPS","207410061240945 | 250728BWVRV0CY",2.13,0.01,MP,Pending,
540777832,"2025-07-28 21:54:07","2025-07-29 15:50:52","Shopee PH - CPS","207410047290156 | 250728BWVBJ94E",2.29,0.01,MP,Pending,
540778191,"2025-07-28 21:47:48","2025-07-29 15:51:26","Shopee PH - CPS","207409668218882 | 250728BWH21N8F",3.31,0.02,MP,Pending,
540778213,"2025-07-28 21:47:28","2025-07-29 15:51:28","Shopee PH - CPS","207409648256750 | 250728BWGF0H9G",1.33,0.01,MP,Pending,
540778288,"2025-07-28 21:45:31","2025-07-29 15:51:36","Shopee PH - CPS","207409531248465 | 250728BWCYDRDT",1.92,0.02,MP,Pending,
540778292,"2025-07-28 21:45:15","2025-07-29 15:51:36","Shopee PH - CPS","207409514264954 | 250728BWCF7KKA",0.98,0.01,MP,Pending,
540778671,"2025-07-28 21:38:36","2025-07-29 15:52:09","Shopee PH - CPS","207409117295715 | 250728BW0MMVVW",4.50,0.05,MP,Pending,
540778802,"2025-07-28 21:35:56","2025-07-29 15:52:23","Shopee PH - CPS","207408956207114 | 250728BVUU10SF",4.37,0.05,MP,Pending,
540778805,"2025-07-28 21:35:38","2025-07-29 15:52:24","Shopee PH - CPS","207408938248448 | 250728BVU9VUYF",3.48,0.04,MP,Pending,
540778832,"2025-07-28 21:35:10","2025-07-29 15:52:27","Shopee PH - CPS","207408911292466 | 250728BVTG6897",3.73,0.04,MP,Pending,
540778848,"2025-07-28 21:35:01","2025-07-29 15:52:28","Shopee PH - CPS","207408901239065 | 250728BVT6KCGR",0.47,0.01,MP,Pending,
540778960,"2025-07-28 21:33:51","2025-07-29 15:52:39","Shopee PH - CPS","207408830269406 | 250728BVR2WJ22",1.15,0.01,MP,Pending,
540779052,"2025-07-28 21:31:58","2025-07-29 15:52:48","Shopee PH - CPS","207408718278040 | 250728BVMR3REB",3.48,0.04,MP,Pending,
540779105,"2025-07-28 21:31:22","2025-07-29 15:52:54","Shopee PH - CPS","207408682205572 | 250728BVKNQ4KS",2.24,0.04,MP,Pending,
540779311,"2025-07-28 21:28:16","2025-07-29 15:53:16","Shopee PH - CPS","207408495255598 | 250728BVE3DW4V",4.15,0.05,MP,Pending,
540779395,"2025-07-28 21:27:01","2025-07-29 15:53:26","Shopee PH - CPS","207408421278568 | 250728BVBVV8Y0",0.68,0.01,MP,Pending,
540480071,"2025-07-28 21:25:53","2025-07-29 01:53:47","TikTok Shop ID - CPS",579787601528915257,3.33,0.06,MP,Pending,
540779545,"2025-07-28 21:24:20","2025-07-29 15:53:42","Shopee PH - CPS","207408259289339 | 250728BV72CJM4",1.21,0.01,MP,Pending,
540779644,"2025-07-28 21:23:24","2025-07-29 15:53:53","Shopee PH - CPS","207408204298164 | 250728BV5DXF7B",1.73,0.02,MP,Pending,
540779659,"2025-07-28 21:23:08","2025-07-29 15:53:54","Shopee PH - CPS","207408188220519 | 250728BV4XM3SR",2.62,0.03,MP,Pending,
540587548,"2025-07-28 21:19:13","2025-07-29 13:39:12","Shopee ID (Media Buyers) - CPS","207407953249713 | 250728BUWXH4FY",1.76,0.02,MP,Pending,
540589264,"2025-07-28 21:16:12","2025-07-29 13:40:35","Shopee ID (Media Buyers) - CPS","207407772220171 | 250728BURHVK9Y",2.03,0.03,MP,Pending,
540780228,"2025-07-28 21:13:56","2025-07-29 15:54:51","Shopee PH - CPS","207407635267508 | 250728BUMF8VT5",3.46,0.04,MP,Pending,
540780226,"2025-07-28 21:13:56","2025-07-29 15:54:51","Shopee PH - CPS","207407635267509 | 250728BUMF8VT6",3.45,0.04,MP,Pending,
540780316,"2025-07-28 21:11:38","2025-07-29 15:55:01","Shopee PH - CPS","207407498246366 | 250728BUGCKN67",1.05,0.01,MP,Pending,
540780312,"2025-07-28 21:11:38","2025-07-29 15:55:00","Shopee PH - CPS","207407498246366 | 250728BUGCKN67",1.52,0.02,MP,Pending,
540780310,"2025-07-28 21:11:38","2025-07-29 15:55:00","Shopee PH - CPS","207407498246366 | 250728BUGCKN67",1.78,0.02,MP,Pending,
540588872,"2025-07-28 21:09:05","2025-07-29 13:40:16","Shopee ID (Media Buyers) - CPS","207407345262337 | 250728BUBTPUQU",0.55,0.01,MP,Pending,
540588868,"2025-07-28 21:09:05","2025-07-29 13:40:16","Shopee ID (Media Buyers) - CPS","207407345262337 | 250728BUBTPUQU",1.01,0.01,MP,Pending,
540588864,"2025-07-28 21:09:05","2025-07-29 13:40:16","Shopee ID (Media Buyers) - CPS","207407345262337 | 250728BUBTPUQU",1.53,0.02,MP,Pending,
540588860,"2025-07-28 21:09:05","2025-07-29 13:40:16","Shopee ID (Media Buyers) - CPS","207407345262337 | 250728BUBTPUQU",0.38,0.01,MP,Pending,
540778599,"2025-07-28 21:08:40","2025-07-29 15:52:01","Shopee PH - CPS","207407319285537 | 250728BUB1X1EA",3.41,0.03,MP,Pending,
